,iter,pn,ps,pns,llk_ratio,max_iter
0,1,0.9976633981688959,0.0070409212537030355,0.007007671052530738,0.9990799502021895,500
1,2,0.9962934570744751,0.005590448682106719,0.005564326858501903,0.9992808067805428,500
2,3,0.9950673554412004,0.009467231256529216,0.009423269718027155,0.9992005033525986,500
3,4,0.9965048371196782,0.008063687677943092,0.00802631102475832,0.9994190514581048,500
4,5,0.9935612469297076,0.006807120005648862,0.006775496240873181,0.9994513538556278,500
5,6,0.9953361071370026,0.007063561273283526,0.007030714496261688,0.999467284657206,500
6,7,0.9867090110884278,0.0072065988682339195,0.0071737316060791955,0.9993548169401998,500
7,8,0.9979029184239854,0.010069654903275466,0.010022208042269947,0.9991032926190037,500
8,9,0.9862174937724687,0.005169389448022226,0.005145675839996478,0.9995758904788727,500
9,10,0.9964736364709098,0.012710887319532255,0.012651065629556806,0.9988861688187671,500
10,11,0.9943992538724818,0.007920018728992194,0.00788308775192962,0.9992995852535697,500
11,12,0.9919055826392076,0.010227375593967063,0.010179914139697164,0.9990329508812805,500
12,13,0.9978155954148342,0.011961633115069148,0.011905368081247139,0.9987271996859971,500
13,14,0.9964420263819881,0.01403991878780783,0.013973975020083058,0.9987117678069254,500
14,15,0.9938524724635254,0.009235130483066728,0.009192246150464132,0.9991832776704255,500
15,16,0.9933302911142725,0.007314528885469654,0.007280592387586392,0.9992961661169745,500
16,17,0.9942141548393263,0.006852670923324645,0.006820734357044788,0.999422442008376,500
17,18,0.9912559800056934,0.007151969341993809,0.007118933449678774,0.9994527306000054,500
18,19,0.9976206372826637,0.014461590475979308,0.01439312378165629,0.9987618722297121,500
19,20,0.9954486855805678,0.0077196996636345475,0.007683797667429814,0.9994335506962655,500
20,21,0.978288298654786,0.0030180947496909875,0.003004145960244751,0.9996888927957339,500
21,22,0.9955633070043548,0.009908515554984615,0.00986213636378326,0.9991344185861296,500
22,23,0.9940326018861837,0.007904647259648788,0.007867966033165476,0.9993194973070125,500
23,24,0.9948619371189558,0.010581023347505134,0.010531573501616218,0.9991221828428123,500
24,25,0.9965963252680408,0.010380687638591539,0.010331997152921824,0.9991119927849141,500
25,26,0.9931177261038767,0.007799946212776437,0.007763946879666057,0.9993208204640167,500
26,27,0.9837124101797011,0.0033626912201305936,0.003347153881785988,0.9996202668917483,500
27,28,0.9935826032505011,0.009699064232333715,0.009654038035829182,0.9989795274131186,500
28,29,0.994110886335855,0.008049904311261664,0.008012591154345092,0.9993464555345248,500
29,30,0.9952020711110389,0.007225479253536433,0.00719186139941175,0.9993786143273409,500
30,31,0.99358889874277,0.006697576969368199,0.006666581797128215,0.9995306324445604,500
31,32,0.9979097814072686,0.012124492419168022,0.012064548270207925,0.9977946581907449,500
32,33,0.9920791855093675,0.004645639792703756,0.004624240019159855,0.9995210358976135,500
33,34,0.9940353582096233,0.006696488033042402,0.006665421388405426,0.9995106975889366,500
34,35,0.9955770983699591,0.010654182650078297,0.010604898972219239,0.9991853261186467,500
35,36,0.9959013159423766,0.009100540650573035,0.00905795069945395,0.9990436847366656,500
36,37,0.9969161280314588,0.01580392447489755,0.015729632893115967,0.9984974224768045,500
37,38,0.9973708712748693,0.015992491758115856,0.015917403346458428,0.9984092315666752,500
38,39,0.9934448027484153,0.006831945704633967,0.006800408705743409,0.9993864777433609,500
39,40,0.9927346250524818,0.004932588852344414,0.004909718239722188,0.9996028135850067,500
40,41,0.9918844722331486,0.005852143704776953,0.005825209823644449,0.9995733298156612,500
41,42,0.9961324828358299,0.010370578110532986,0.010321920838651301,0.9990136153050729,500
42,43,0.9975404269726978,0.012413361461258937,0.012354547570827153,0.9988017097097412,500
43,44,0.9787854904542715,0.0038383475314498917,0.0038207721991275986,0.99966749737514,500
44,45,0.9971370855532234,0.009513845431925743,0.00946940352495399,0.9992419210812022,500
45,46,0.9930434007224203,0.005972565755873974,0.005944820258461305,0.9994910123924164,500
46,47,0.990086314880871,0.004388356839849547,0.00436806614308734,0.9994885062396547,500
47,48,0.9942897761490426,0.0071581456125908525,0.00712485329119316,0.999291012613543,500
48,49,0.9946940193742725,0.00832140860145941,0.00828244573492764,0.9987159021153768,500
49,50,0.9965619891602541,0.010211699706792091,0.010164006145540975,0.9991253870357606,500
50,51,0.9964749832304157,0.009008992725321834,0.008966908052072363,0.9992186657813753,500
51,52,0.9933925831603422,0.006933298882742963,0.006901479244863793,0.9994344841070213,500
52,53,0.9874472736399887,0.0037827592596333965,0.0037654908528565283,0.9995388472342621,500
53,54,0.9971119135896178,0.01288961816899549,0.012829330533990711,0.9988264411335911,500
54,55,0.9915787697281115,0.0047302438629723805,0.004708352963216866,0.9995570449965948,500
55,56,0.9952944216372397,0.006444869656891459,0.006415000531933131,0.9995860418280129,500
56,57,0.9920612011533226,0.0043778834733957895,0.00435761379641186,0.9995593506576138,500
57,58,0.9957388175775213,0.006469236036841239,0.006439194232671431,0.99944286299169,500
58,59,0.9965469372928961,0.013072891020392708,0.013011392375576351,0.9989091947218397,500
59,60,0.9955380957788633,0.008421716767336778,0.008382485245811854,0.9991947119443694,500
60,61,0.9986521053346075,0.014332168633965237,0.014263929618450794,0.9986768472275609,500
61,62,0.9923179179794905,0.00854109228319056,0.008501466493701591,0.9993047942172764,500
62,63,0.9862860529168483,0.003296237708508264,0.003280997412142033,0.9996811482355186,500
63,64,0.992319083900022,0.007108339088844087,0.00707500605477367,0.9991470964467003,500
64,65,0.9928160785009684,0.006899674877267701,0.0068676620816390125,0.9994121674688904,500
